break,label,text
new position,,
new line,title,Disponent (m/w/d) für die internationale LKW-Disposition
new line,location,Barcelona
new line,description,Für unseren Standort Barcelona suchen wir zum nächstmöglichen Zeitpunkt einen Disponent (m/w/d) für die nationale LKW-Disposition.
new line,tasks,Einkauf von Transportleistungen
new line,tasks,Optimierung von Teilpartien
new line,tasks,Verkauf an unsere tarnsportschaeden
new line,tasks,Abrechnung der kfzBereich
new line,tasks,"Täglich müssen schnelle Entscheidungen getroffen werden, bei höchstmöglicher Qualität in der Ausführung. Nach einer entsprechenden Einarbeitungszeit sollen Sie diese Aufgaben eigenverantwortlich lösen."
new line,requirements,Ausbildung zum Kaufmann (m/w/d) für Spedition & Logistikdienstleistung oder ähnlich
new line,requirements,Erste Berufserfahrung in der operativen Disposition in einer Spedition
new line,requirements,Gute Kenntnisse des Office-Pakets
new line,requirements,Kommunikations- und Teamfähigkeit sowie eine selbständige Arbeitsweise
new line,requirements,Verhandlungssichere Spanisch- und Deutschkenntnisse
new line,requirements,Gute Englischkenntnisse
new line,offer,"Die NEUFRA Speditions Gruppe ist ein international aufgestelltes mittelständisches Unternehmen mit 33 Niederlassungen in Europa. Mit mehr als 400 Mitarbeiter/innen leben wir eine offene Unternehmenskultur in einem persönlich geprägten Arbeitsumfeld. Unsere flachen Hierarchien fördern nicht nur ein kollegiales Miteinander, sondern auch eigenständiges Arbeiten mit eigenverantwortlichen Entscheidungen. Sie erwartet ein zukunftssicherer Arbeitsplatz mit dem Ziel einer langfristigen Zusammenarbeit. Zur Förderung Ihrer beruflichen und persönlichen Entwicklung werden Ihnen individuelle Weiterbildungsmöglichkeiten offeriert. Ferner besteht die Vergütung Ihrer Leistung aus attraktiven Gehältern, die mit weiteren Sozialleistungen ergänzt werden."
new line,other,
new line,partnerName,Grant Apressian
new line,partnerMobile,+34 681 128976
new line,partnerCity,08027 E-Barcelona
new line,partnerStreet,Avda. Meridiana 354 11 d
new line,partnerPhone,+34 93 6345043
